iter	RMSE
0	2864.671499
1	2862.701805
2	2861.109462
3	2859.28983
4	2857.901914
5	2856.528632
6	2855.4672
7	2854.128418
8	2853.0957
9	2852.140958
10	2850.434251
11	2849.440074
12	2847.695803
13	2846.138671
14	2844.657253
15	2843.012679
16	2841.775438
17	2840.051363
18	2838.511978
19	2836.917162
20	2835.670403
21	2834.281666
22	2832.74846
23	2831.526041
24	2829.991864
25	2828.652716
26	2827.400162
27	2826.265819
28	2824.900772
29	2823.609053
30	2822.29996
31	2820.941721
32	2819.700334
33	2818.670259
34	2817.923648
35	2817.166024
36	2815.758682
37	2814.547378
38	2813.232648
39	2812.055758
40	2811.363111
41	2810.599894
42	2809.389609
43	2808.32835
44	2807.70517
45	2806.607199
46	2805.95647
47	2805.275714
48	2804.203567
49	2803.511103
50	2802.852817
51	2802.251404
52	2801.621608
53	2800.78755
54	2800.216831
55	2799.150419
56	2798.56773
57	2797.496756
58	2796.860083
59	2796.169838
60	2795.462945
61	2794.845146
62	2793.881379
63	2793.344593
64	2792.458103
65	2791.544789
66	2791.038981
67	2790.524218
68	2789.701879
69	2788.826767
70	2787.939582
71	2787.23113
72	2786.451831
73	2785.611212
74	2785.099777
75	2784.628196
76	2784.162731
77	2783.591547
78	2783.160804
79	2782.744664
80	2782.094559
81	2781.189578
82	2780.362345
83	2779.492859
84	2779.030174
85	2778.428273
86	2777.750294
87	2776.972814
88	2776.170346
89	2775.758877
90	2775.253055
91	2774.799297
92	2774.404034
93	2773.710967
94	2773.325661
95	2772.705146
96	2772.339512
97	2771.914131
98	2771.497066
99	2771.128994
100	2770.212999
101	2769.578337
102	2768.900656
103	2768.205309
104	2767.479034
105	2766.765993
106	2766.165673
107	2765.761875
108	2765.147569
109	2764.465075
110	2764.224569
111	2763.814736
112	2763.148731
113	2762.675738
114	2762.292249
115	2762.101083
116	2761.592872
117	2761.210242
118	2760.74578
119	2760.237761
120	2759.732045
121	2759.463707
122	2758.964915
123	2758.282924
124	2757.765031
125	2757.170848
126	2756.735768
127	2756.328594
128	2756.029523
129	2755.398091
130	2754.944209
131	2754.518705
132	2754.082786
133	2753.691411
134	2753.2316
135	2752.644428
136	2752.149642
137	2751.701237
138	2751.430216
139	2751.038772
140	2750.56698
141	2750.095569
142	2749.582627
143	2748.970492
144	2748.540703
145	2748.200533
146	2747.91136
147	2747.603822
148	2747.3271
149	2746.888843
150	2746.668653
151	2746.316709
152	2745.900481
153	2745.688102
154	2745.503192
155	2744.965746
156	2744.749708
157	2744.538156
158	2744.240243
159	2743.82002
160	2743.597551
161	2743.319137
162	2742.893104
163	2742.563469
164	2742.220819
165	2741.884478
166	2741.505298
167	2741.062088
168	2740.609801
169	2740.39831
170	2740.084134
171	2739.557602
172	2739.309709
173	2738.990099
174	2738.740556
175	2738.051947
176	2737.861099
177	2737.363706
178	2737.12439
179	2736.790707
180	2736.327696
181	2736.035576
182	2735.663919
183	2735.397462
184	2735.056103
185	2734.798747
186	2734.310061
187	2734.114722
188	2734.023721
189	2733.69802
190	2733.526228
191	2733.350444
192	2732.811871
193	2732.571764
194	2732.334679
195	2732.112638
196	2731.73192
197	2731.515848
198	2731.219051
199	2731.053414
